"Annotation (pathway/process)"	"XD-score"	"Fisher q-value"	"Gene set size"	"Pathway size"	"Overlap size"
"hsa04320:Dorso-ventral axis formation"	0.356234361968307	1	42	24	1
"hsa04621:NOD-like receptor signaling pathway"	0.281234361968307	0.355508893878582	42	60	2
"hsa04622:RIG-I-like receptor signaling pathway"	0.234755488728870	0.370174966432428	42	71	2
"hsa05144:Malaria"	0.168734361968307	1	42	48	1
"hsa04623:Cytosolic DNA-sensing pathway"	0.147901028634974	1	42	54	1
"hsa04062:Chemokine signaling pathway"	0.126395652290887	0.355508893878582	42	186	3
"hsa05214:Glioma"	0.124091504825450	1	42	63	1
"hsa04060:Cytokine-cytokine receptor interaction"	0.119165396451065	0.193134821711665	42	261	4
"hsa05218:Melanoma"	0.113587303144777	1	42	68	1
"hsa04610:Complement and coagulation cascades"	0.111669144577003	1	42	69	1
"hsa04540:Gap junction"	0.0858855247590044	1	42	86	1
"hsa05215:Prostate cancer"	0.0846826378303758	1	42	87	1
"hsa00240:Pyrimidine metabolism"	0.0769790428193707	1	42	94	1
"hsa04620:Toll-like receptor signaling pathway"	0.070343272859396	1	42	101	1
"hsa05142:Chagas disease"	0.0686130027450059	1	42	103	1
"hsa04142:Lysosome"	0.0562343619683069	1	42	120	1
"hsa04514:Cell adhesion molecules (CAMs)"	0.0499366520446427	1	42	131	1
"hsa04020:Calcium signaling pathway"	0.0332574833555900	1	42	173	1
"hsa04510:Focal adhesion"	0.0269196411561241	1	42	197	1
"hsa04810:Regulation of actin cytoskeleton"	0.0245035927375376	1	42	208	1
"hsa04010:MAPK signaling pathway"	0.0154548942876984	1	42	263	1
"hsa05200:Pathways in cancer"	0.00918467252731304	1	42	322	1
"hsa01100:Metabolic pathways"	-0.0104553887242139	1	42	1083	1
"hsa00983:Drug metabolism - other enzymes"	-0.0187656380316932	1	42	50	0
"hsa00230:Purine metabolism"	-0.0187656380316932	1	42	158	0
"hsa05340:Primary immunodeficiency"	-0.0187656380316932	1	42	33	0
"hsa05412:Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	-0.0187656380316932	1	42	73	0
"hsa04012:ErbB signaling pathway"	-0.0187656380316932	1	42	87	0
"hsa04150:mTOR signaling pathway"	-0.0187656380316932	1	42	51	0
"hsa04210:Apoptosis"	-0.0187656380316932	1	42	87	0
"hsa04370:VEGF signaling pathway"	-0.0187656380316932	1	42	75	0
"hsa04530:Tight junction"	-0.0187656380316932	1	42	130	0
"hsa04630:Jak-STAT signaling pathway"	-0.0187656380316932	1	42	154	0
"hsa04660:T cell receptor signaling pathway"	-0.0187656380316932	1	42	108	0
"hsa04662:B cell receptor signaling pathway"	-0.0187656380316932	1	42	74	0
"hsa04664:Fc epsilon RI signaling pathway"	-0.0187656380316932	1	42	77	0
"hsa04666:Fc gamma R-mediated phagocytosis"	-0.0187656380316932	1	42	91	0
"hsa04722:Neurotrophin signaling pathway"	-0.0187656380316932	1	42	124	0
"hsa04910:Insulin signaling pathway"	-0.0187656380316932	1	42	134	0
"hsa04914:Progesterone-mediated oocyte maturation"	-0.0187656380316932	1	42	84	0
"hsa04920:Adipocytokine signaling pathway"	-0.0187656380316932	1	42	67	0
"hsa05210:Colorectal cancer"	-0.0187656380316932	1	42	62	0
"hsa05211:Renal cell carcinoma"	-0.0187656380316932	1	42	70	0
"hsa05212:Pancreatic cancer"	-0.0187656380316932	1	42	70	0
"hsa05213:Endometrial cancer"	-0.0187656380316932	1	42	52	0
"hsa05220:Chronic myeloid leukemia"	-0.0187656380316932	1	42	71	0
"hsa05221:Acute myeloid leukemia"	-0.0187656380316932	1	42	54	0
"hsa05222:Small cell lung cancer"	-0.0187656380316932	1	42	84	0
"hsa05223:Non-small cell lung cancer"	-0.0187656380316932	1	42	52	0
"hsa04146:Peroxisome"	-0.0187656380316932	1	42	74	0
"hsa00520:Amino sugar and nucleotide sugar metabolism"	-0.0187656380316932	1	42	44	0
"hsa00190:Oxidative phosphorylation"	-0.0187656380316932	1	42	125	0
"hsa04260:Cardiac muscle contraction"	-0.0187656380316932	1	42	74	0
"hsa05010:Alzheimer's disease"	-0.0187656380316932	1	42	159	0
"hsa05012:Parkinson's disease"	-0.0187656380316932	1	42	124	0
"hsa05016:Huntington's disease"	-0.0187656380316932	1	42	173	0
"hsa03050:Proteasome"	-0.0187656380316932	1	42	43	0
"hsa04145:Phagosome"	-0.0187656380316932	1	42	144	0
"hsa04612:Antigen processing and presentation"	-0.0187656380316932	1	42	66	0
"hsa04672:Intestinal immune network for IgA production"	-0.0187656380316932	1	42	49	0
"hsa04940:Type I diabetes mellitus"	-0.0187656380316932	1	42	42	0
"hsa05140:Leishmaniasis"	-0.0187656380316932	1	42	72	0
"hsa05310:Asthma"	-0.0187656380316932	1	42	31	0
"hsa05320:Autoimmune thyroid disease"	-0.0187656380316932	1	42	52	0
"hsa05322:Systemic lupus erythematosus"	-0.0187656380316932	1	42	91	0
